event_id,title,url,outlet,start_date,session_time,registration_open,min_price,max_price,source
87868837,Nee Soon Central Zone 4 RN Dance Fit Club Sep 2025 – Aug 2026,https://www.onepa.gov.sg/events/nee-soon-central-zone-4-rn-dance-fit-club-sep-2025-aug-2026-87868837,Nee Soon Central Zone 4 RN,21 Aug 2025 - 20 Aug 2026,9:00 AM - 10:30 AM,True,24.0,24.0,Health & Fitness (this-month)
46384873,Zumba Gold @ Kampong glam 11-5-26,https://www.onepa.gov.sg/events/zumba-gold-kampong-glam-11-5-26-46384873,Beach Road RN,11 May 2026,7:00 PM - 8:30 PM,True,0.0,0.0,Health & Fitness (this-month)
90525257,Zumba Gold @ Kampong glam 25-5-26,https://www.onepa.gov.sg/events/zumba-gold-kampong-glam-25-5-26-90525257,Beach Road RN,24 May 2026 - 25 May 2026,7:00 PM - 8:30 PM,True,0.0,0.0,Health & Fitness (this-month)
97865787,Zumba Gold @ Kampong glam 18-5-26,https://www.onepa.gov.sg/events/zumba-gold-kampong-glam-18-5-26-97865787,Beach Road RN,18 May 2026,7:00 PM - 8:30 PM,True,0.0,0.0,Health & Fitness (this-month)
83763309,Woodlands PAssion Community Football Programme 2026,https://www.onepa.gov.sg/events/woodlands-passion-community-football-programme-2026-83763309,Woodlands CC,05 Apr 2026 - 28 Mar 2027,9:00 AM - 10:30 AM,True,35.0,50.0,Health & Fitness (this-month)
40157950,[Valid from 23 March 2026 to 15 June 2026] West Coast CSN Junior Basketball [Every Monday 7.00 pm to 9.00 pm] ,https://www.onepa.gov.sg/events/valid-from-23-march-2026-to-15-june-2026-west-coast-csn-junior-basketball-every-monday-7-00-pm-to-9-00-pm-40157950,West Coast CC,23 Mar 2026 - 15 Jun 2026,7:00 PM - 9:00 PM,True,40.0,80.0,Health & Fitness (this-month)
10691785,SWRN TABLE TENNIS 26 MAY 26 ,https://www.onepa.gov.sg/events/swrn-table-tennis-26-may-26-10691785,Selegie-Waterloo RN,26 May 2026,1:00 PM - 5:00 PM,True,0.0,0.0,Health & Fitness (this-month)
33025813,Siglap CSN International Chess IG 2026,https://www.onepa.gov.sg/events/siglap-csn-international-chess-ig-2026-33025813,Siglap CC,07 May 2026 - 26 Nov 2026,7:00 PM - 8:00 PM,True,20.0,20.0,Health & Fitness (this-month)
56793898,(CSN) Sembawang West CSN Dance Fit IG fee - Apr 2026 to Mar 2027,https://www.onepa.gov.sg/events/csn-sembawang-west-csn-dance-fit-ig-fee-apr-2026-to-mar-2027-56793898,Woodlands Galaxy CC,01 Apr 2026 - 31 Mar 2027,9:00 AM - 7:00 PM,True,24.0,24.0,Health & Fitness (this-month)
76750194,Taiko with Music Workshop 2026 (130426 to 060726),https://www.onepa.gov.sg/events/taiko-with-music-workshop-2026-130426-to-060726-76750194,Kampong Chai Chee CC,13 Apr 2026 - 06 Jul 2026,7:30 PM - 8:30 PM,True,10.0,50.0,Health & Fitness (this-month)
31809410,Toa Payoh East Zone 2 RN - Adopt A Plot at Blk 15 Lor 7 Toa Payoh Community Garden,https://www.onepa.gov.sg/events/toa-payoh-east-zone-2-rn-adopt-a-plot-at-blk-15-lor-7-toa-payoh-community-garden-31809410,Toa Payoh East Zone 2 RN,30 Mar 2026 - 29 Mar 2027,12:00 AM - 12:00 PM,True,180.0,180.0,Health & Fitness (this-month)
38640487,Toa Payoh East Zone 2 RN - Adopt A Plot at Blk 228 Lor 8 Toa Payoh Community Garden [Full],https://www.onepa.gov.sg/events/toa-payoh-east-zone-2-rn-adopt-a-plot-at-blk-228-lor-8-toa-payoh-community-garden-full-38640487,Toa Payoh East Zone 2 RN,30 Mar 2026 - 29 Mar 2027,12:00 AM - 12:00 PM,True,200.0,200.0,Health & Fitness (this-month)
99504473,JC CSN - 2026 MAY 02 TO JUN 27: PAssion Community Football (PACF),https://www.onepa.gov.sg/events/jc-csn-2026-may-02-to-jun-27-passion-community-football-pacf-99504473,Jurong Green CC,02 May 2026 - 27 Jun 2026,3:00 PM - 4:30 PM,True,45.0,45.0,Health & Fitness (this-month)
87963561,Kebun Baru CC AAC x SCEC - Folk Dance Night - 23 May 2026 (HealthierSG),https://www.onepa.gov.sg/events/kebun-baru-cc-aac-x-scec-folk-dance-night-23-may-2026-healthiersg-87963561,Kebun Baru CC,23 May 2026,5:00 PM - 9:30 PM,True,0.0,0.0,Health & Fitness (this-month)
26410239,Toa Payoh East CSN Badminton Interest Group - 19 May 2026,https://www.onepa.gov.sg/events/toa-payoh-east-csn-badminton-interest-group-19-may-2026-26410239,Toa Payoh East CC,19 May 2026,7:30 PM - 9:30 PM,True,4.0,4.0,Health & Fitness (this-month)
40863121,Toa Payoh East CSN Badminton Interest Group - 12 May 2026,https://www.onepa.gov.sg/events/toa-payoh-east-csn-badminton-interest-group-12-may-2026-40863121,Toa Payoh East CC,12 May 2026,7:30 PM - 9:30 PM,True,4.0,4.0,Health & Fitness (this-month)
81408433,Toa Payoh East CSN Badminton Interest Group - 26 May 2026,https://www.onepa.gov.sg/events/toa-payoh-east-csn-badminton-interest-group-26-may-2026-81408433,Toa Payoh East CC,26 May 2026,7:30 PM - 9:30 PM,True,4.0,4.0,Health & Fitness (this-month)
